stage_order,stage_label,outcome,outcome_label,successes,n,rate,ci_low,ci_high
1,before_public_response,recommended,Steam recommendation,2,10,0.2,0.0566809480,0.5098431533
1,before_public_response,localization_criticism,Explicit localization criticism,10,10,1,0.7224598312,1
1,before_public_response,developer_positive,Positive developer or response evaluation,0,10,0,0,0.2775401688
2,after_forum_confirmation,recommended,Steam recommendation,6,10,0.6,0.3126695475,0.8318224188
2,after_forum_confirmation,localization_criticism,Explicit localization criticism,8,10,0.8,0.4901568467,0.9433190520
2,after_forum_confirmation,developer_positive,Positive developer or response evaluation,1,10,0.1,0.0178757495,0.4041563855
3,after_direct_message_before_reversion,recommended,Steam recommendation,10,10,1,0.7224598312,1
3,after_direct_message_before_reversion,localization_criticism,Explicit localization criticism,6,10,0.6,0.3126695475,0.8318224188
3,after_direct_message_before_reversion,developer_positive,Positive developer or response evaluation,9,10,0.9,0.5958436145,0.9821242505
4,after_live_reversion,recommended,Steam recommendation,10,10,1,0.7224598312,1
4,after_live_reversion,localization_criticism,Explicit localization criticism,4,10,0.4,0.1681775812,0.6873304525
4,after_live_reversion,developer_positive,Positive developer or response evaluation,9,10,0.9,0.5958436145,0.9821242505
