row_id,language,language_name,review_date,created_at,updated_at,created_ms,updated_ms,recommended,eventually_edited,playtime_hours
1,1,English,2024-03-18,2024-03-18 00:03:00,2024-03-18 00:03:00,2026339380000,2026339380000,1,0,13
2,1,English,2024-03-18,2024-03-18 02:03:00,2024-03-18 02:03:00,2026346580000,2026346580000,1,0,24
3,1,English,2024-03-18,2024-03-18 04:03:00,2024-03-18 04:03:00,2026353780000,2026353780000,1,0,35
4,1,English,2024-03-18,2024-03-18 06:03:00,2024-03-19 07:03:00,2026360980000,2026450980000,1,1,46
5,1,English,2024-03-18,2024-03-18 08:03:00,2024-03-18 08:03:00,2026368180000,2026368180000,1,0,57
6,1,English,2024-03-18,2024-03-18 10:03:00,2024-03-18 10:03:00,2026375380000,2026375380000,1,0,68
7,1,English,2024-03-18,2024-03-18 12:03:00,2024-03-18 12:03:00,2026382580000,2026382580000,1,0,79
8,1,English,2024-03-18,2024-03-18 14:03:00,2024-03-18 14:03:00,2026389780000,2026389780000,1,0,90
9,1,English,2024-03-18,2024-03-18 16:03:00,2024-03-18 16:03:00,2026396980000,2026396980000,1,0,101
10,1,English,2024-03-18,2024-03-18 18:03:00,2024-03-18 18:03:00,2026404180000,2026404180000,0,0,112
11,1,English,2024-03-18,2024-03-18 20:03:00,2024-03-20 21:03:00,2026411380000,2026587780000,1,1,123
12,1,English,2024-03-18,2024-03-18 22:03:00,2024-03-18 22:03:00,2026418580000,2026418580000,1,0,134
13,2,Simplified Chinese,2024-03-18,2024-03-18 00:06:00,2024-03-18 00:06:00,2026339560000,2026339560000,1,0,18
14,2,Simplified Chinese,2024-03-18,2024-03-18 02:06:00,2024-03-18 02:06:00,2026346760000,2026346760000,1,0,29
15,2,Simplified Chinese,2024-03-18,2024-03-18 04:06:00,2024-03-18 04:06:00,2026353960000,2026353960000,0,0,40
16,2,Simplified Chinese,2024-03-18,2024-03-18 06:06:00,2024-03-18 06:06:00,2026361160000,2026361160000,1,0,51
17,2,Simplified Chinese,2024-03-18,2024-03-18 08:06:00,2024-03-18 08:06:00,2026368360000,2026368360000,1,0,62
18,2,Simplified Chinese,2024-03-18,2024-03-18 10:06:00,2024-03-18 10:06:00,2026375560000,2026375560000,1,0,73
19,2,Simplified Chinese,2024-03-18,2024-03-18 12:06:00,2024-03-19 14:06:00,2026382760000,2026476360000,1,1,84
20,2,Simplified Chinese,2024-03-18,2024-03-18 14:06:00,2024-03-18 14:06:00,2026389960000,2026389960000,1,0,95
21,2,Simplified Chinese,2024-03-18,2024-03-18 16:06:00,2024-03-18 16:06:00,2026397160000,2026397160000,1,0,106
22,2,Simplified Chinese,2024-03-18,2024-03-18 18:06:00,2024-03-18 18:06:00,2026404360000,2026404360000,1,0,117
23,2,Simplified Chinese,2024-03-18,2024-03-18 20:06:00,2024-03-18 20:06:00,2026411560000,2026411560000,1,0,128
24,2,Simplified Chinese,2024-03-18,2024-03-18 22:06:00,2024-03-18 22:06:00,2026418760000,2026418760000,1,0,139
25,3,Spanish,2024-03-18,2024-03-18 00:09:00,2024-03-18 00:09:00,2026339740000,2026339740000,1,0,23
26,3,Spanish,2024-03-18,2024-03-18 02:09:00,2024-03-18 02:09:00,2026346940000,2026346940000,1,0,34
