control,window_type,cutoff_date,estimate,se,ci_low,ci_high,n_obs
English,placebo,2024-03-25,-.025982456,.047036614,-.11853503,.066570118,313
English,placebo,2024-03-26,-.024013486,.04342496,-.10945736,.061430387,315
English,placebo,2024-03-27,-.025474684,.043823332,-.11170458,.060755212,313
English,placebo,2024-03-28,-.024679488,.039610263,-.10261748,.053258505,315
English,placebo,2024-03-29,-.025316456,.040151685,-.10432176,.053688843,313
English,placebo,2024-03-30,-.013508089,.038126357,-.08852917,.061512992,312
English,placebo,2024-03-31,-.024333999,.0398531,-.10275079,.054082792,314
English,placebo,2024-04-01,-.00018386012,.040373348,-.079627357,.079259641,311
English,placebo,2024-04-02,-.013328286,.038008381,-.08811532,.061458752,314
English,placebo,2024-04-03,.025986513,.03991174,-.052544668,.1045177,315
English,placebo,2024-04-04,.011829942,.038007155,-.062955633,.08661551,313
English,placebo,2024-04-05,.050986513,.039812487,-.027349373,.12932239,315
English,placebo,2024-04-06,.025025632,.040128648,-.053935349,.10398661,312
English,placebo,2024-04-07,.062953927,.041722137,-.019141514,.14504936,313
English,placebo,2024-04-08,.013033405,.041885912,-.069384284,.095451094,313
English,placebo,2024-04-09,.037974682,.045524169,-.051603045,.1275524,312
English,placebo,2024-04-10,-8.1142489e-06,.046735127,-.091965139,.091948904,315
English,placebo,2024-05-05,.00049950049,.046642587,-.091275439,.092274442,315
English,placebo,2024-05-06,-.013425309,.044815861,-.10160483,.074754216,316
English,placebo,2024-05-07,-.026803451,.047229081,-.11973593,.066129029,312
English,placebo,2024-05-08,-.06429404,.045090009,-.15301409,.024426013,315
English,placebo,2024-05-09,-.06457381,.048503064,-.16001067,.030863047,314
English,placebo,2024-05-10,-.090939589,.045388035,-.18024831,-.0016308711,313
English,placebo,2024-05-11,-.063201919,.048079826,-.15780361,.031399772,316
English,placebo,2024-05-12,-.051473528,.046785858,-.14353037,.04058332,315
English,placebo,2024-05-13,-.036886774,.048104987,-.13153797,.05776443,316
English,placebo,2024-05-14,-.011459114,.045325298,-.10064213,.077723898,315
English,placebo,2024-05-15,.013303469,.04551556,-.076256171,.10286311,313
English,placebo,2024-05-16,.014440396,.041716781,-.067642421,.09652321,315
English,placebo,2024-05-17,.013841421,.042185783,-.069166318,.096849158,313
English,focal_harm,2024-04-18,-.049837664,.058865204,-.16569653,.066021211,293
English,focal_repair,2024-04-26,.069381393,.057765964,-.044325817,.1830886,286
Spanish,placebo,2024-03-25,.013116051,.04866761,-.082645789,.10887789,313
Spanish,placebo,2024-03-26,.050670058,.046758495,-.041334104,.14267422,314
Spanish,placebo,2024-03-27,.02612788,.050433174,-.073110551,.12536632,311
Spanish,placebo,2024-03-28,.063769877,.048170514,-.03101144,.1585512,315
Spanish,placebo,2024-03-29,.037974682,.051615585,-.063589096,.13953847,312
Spanish,placebo,2024-03-30,.050257735,.049940433,-.048008606,.14852408,313
Spanish,placebo,2024-03-31,.024383949,.052819856,-.079548143,.12831604,313
Spanish,placebo,2024-04-01,.024483455,.050453257,-.074795775,.12376269,310
Spanish,placebo,2024-04-02,-.012695374,.051284585,-.11360528,.088214532,314
Spanish,placebo,2024-04-03,-.00061605062,.050086837,-.099170461,.097938359,313
Spanish,placebo,2024-04-04,-.03880297,.051423416,-.13998732,.062381387,313
Spanish,placebo,2024-04-05,-.024962854,.049849067,-.12304817,.073122464,314
Spanish,placebo,2024-04-06,-.049962196,.050335709,-.14901012,.049085729,310
Spanish,placebo,2024-04-07,-.037362531,.048157021,-.13211849,.057393432,314
Spanish,placebo,2024-04-08,-.037124824,.04864002,-.1328336,.058583952,312
Spanish,placebo,2024-04-09,-.037650112,.048791133,-.13365747,.058357239,311
Spanish,placebo,2024-04-10,-.037666343,.048260141,-.13262402,.057291329,315
Spanish,placebo,2024-05-05,-.0243301,.047046367,-.11690305,.068242848,312
Spanish,placebo,2024-05-06,-.051435906,.047034629,-.14398576,.041113947,312
Spanish,placebo,2024-05-07,-.051320653,.04735003,-.14449352,.04185221,310
Spanish,placebo,2024-05-08,-.051952269,.04698915,-.14441144,.040506918,313
Spanish,placebo,2024-05-09,-.051615052,.047411799,-.14490947,.041679364,310
Spanish,placebo,2024-05-10,-.039661594,.045743685,-.12967242,.050349232,311
Spanish,placebo,2024-05-11,-.05178998,.047029443,-.14432845,.040748481,313
Spanish,placebo,2024-05-12,-.026473526,.047326032,-.11959796,.066650912,311
Spanish,placebo,2024-05-13,-.012820513,.048452817,-.1081585,.082517475,314
Spanish,placebo,2024-05-14,.026341414,.047300827,-.066733427,.11941626,311
Spanish,placebo,2024-05-15,.02629438,.050468799,-.073014148,.12560292,311
Spanish,placebo,2024-05-16,.063332498,.048429128,-.031960081,.15862508,313
Spanish,placebo,2024-05-17,.038671024,.05203674,-.063724101,.14106615,310
Spanish,focal_harm,2024-04-18,-.012654118,.055130471,-.12116385,.095855609,292
Spanish,focal_repair,2024-04-26,.069507763,.060712319,-.050006501,.18902202,282
