specification,control,contrast,estimate,se,ci_low,ci_high,p_value
Never-edited primary,English,Damage vs baseline,-0.06320720160364701,0.009118857129316803,-0.08108016157710794,-0.04533424163018608,4.164520134789582e-12
Never-edited primary,English,Recovery vs disputed,0.0719869052786627,0.008813396203680017,0.05471264871944986,0.08926116183787552,3.1381376431910055e-16
Never-edited primary,English,Post vs baseline,0.008779703675015793,0.004691344264415817,-0.0004153310832392069,0.01797473843327079,0.06128015251227645
Never-edited primary,Spanish,Damage vs baseline,-0.06723574520092102,0.01033192166152898,-0.08748631165751782,-0.046985178744324216,7.637411126254473e-11
Never-edited primary,Spanish,Recovery vs disputed,0.07108957622128487,0.009915029473884585,0.05165611845247108,0.09052303399009864,7.506327377745049e-13
Never-edited primary,Spanish,Post vs baseline,0.0038538310203638515,0.006905375018149841,-0.009680704015209837,0.01738836605593754,0.576781912637675
Period-end safeguard,English,Damage vs baseline,-0.04500460322769473,0.007423706733674095,-0.05955506842569595,-0.030454138029693503,1.342036956205871e-09
Period-end safeguard,English,Recovery vs disputed,0.05391652887548304,0.007019535162036243,0.040158239957892,0.06767481779307408,1.5794292244549353e-14
Period-end safeguard,English,Post vs baseline,0.008911925647788421,0.004775715965270342,-0.0004484776441414477,0.01827232893971829,0.06202848653799906
Period-end safeguard,Spanish,Damage vs baseline,-0.0479082005786019,0.008818320690617823,-0.06519210913221284,-0.03062429202499097,5.547559034460398e-08
Period-end safeguard,Spanish,Recovery vs disputed,0.05218074917856008,0.00831921071167832,0.035875096183670574,0.06848640217344959,3.5570826865012727e-10
Period-end safeguard,Spanish,Post vs baseline,0.00427254859995807,0.0068710474626216414,-0.009194704426780347,0.017739801626696486,0.534060820778882
Final state naive,English,Damage vs baseline,-0.03459183201708349,0.006457792173844973,-0.047249104677819634,-0.021934559356347343,8.480094252801314e-08
Final state naive,English,Recovery vs disputed,0.04420286087505487,0.006053288540151642,0.03233841533635765,0.05606730641375209,2.8291327060359197e-13
Final state naive,English,Post vs baseline,0.009611028857971271,0.004681641429461197,0.000435011656227325,0.018787046059715217,0.04008047092836086
Final state naive,Spanish,Damage vs baseline,-0.03899683518605157,0.00806645927854123,-0.05480709537199238,-0.02318657500011076,1.335191546806035e-06
Final state naive,Spanish,Recovery vs disputed,0.042738493757192186,0.007513243996327972,0.028012535524389363,0.05746445198999501,1.2821952035202785e-08
Final state naive,Spanish,Post vs baseline,0.003741658571140727,0.007064422314324831,-0.01010460916493594,0.017587926307217394,0.5963558681177752
