control,window_type,cutoff,estimate,se,ci_low,ci_high,p_value
English,placebo,2024-03-25,0.002551699989627121,0.0046290282120868935,-0.006521195306063191,0.011624595285317433,0.5814699806315142
English,placebo,2024-03-26,0.0011472137125106974,0.004656319671831521,-0.007979172844279084,0.010273600269300479,0.8053898037151928
English,placebo,2024-03-27,-0.0016465852385126878,0.004685732285400462,-0.010830620517897592,0.007537450040872216,0.7252852546528314
English,placebo,2024-03-28,-0.0002390007076908951,0.0048030678145499295,-0.009653013624208756,0.009175012208826966,0.9603136337146173
English,placebo,2024-03-29,-0.005980186908284835,0.004885483369629567,-0.015555734312758786,0.0035953604961891164,0.2209247966701734
English,placebo,2024-03-30,-0.006053047328429151,0.004996606066138185,-0.015846395218059993,0.0037403005612016912,0.22572996964802183
English,placebo,2024-03-31,0.0006321768435325614,0.005358148057480764,-0.009869793349129736,0.011134147036194858,0.9060801723523321
English,placebo,2024-04-01,-0.0042801063894574165,0.005619109875940957,-0.015293561746301691,0.006733348967386858,0.4462358459908294
English,placebo,2024-04-02,-0.005738644326934272,0.005936440458889701,-0.017374067626358083,0.00589677897248954,0.3337035174125709
English,placebo,2024-04-03,-0.004515659576006414,0.0060300623853317414,-0.01633458185125663,0.007303262699243798,0.45394288527604065
English,placebo,2024-04-04,-0.00509795547948888,0.006086421350843363,-0.01702734132714187,0.0068314303681641115,0.4022582584199614
English,placebo,2024-04-05,0.00027071624004593176,0.006430608159662312,-0.0123332757528922,0.012874708232984063,0.9664205128249822
English,placebo,2024-04-06,0.0012332353847801514,0.0065254953495758935,-0.011556735500388599,0.014023206269948902,0.8501028140985714
English,placebo,2024-04-07,-0.0001012370187474243,0.006407637393905546,-0.012660206310802294,0.012457732273307445,0.9873944031402282
English,placebo,2024-04-08,-0.00013654988016154057,0.006924398842767255,-0.01370837161198536,0.01343527185166228,0.9842666515145997
English,placebo,2024-04-09,0.00438395055062879,0.007217074716722736,-0.009761515894147773,0.018529416995405355,0.5435579674197499
English,placebo,2024-04-10,0.004133082889712925,0.007305539167220542,-0.010185773878039338,0.018451939657465187,0.5715661502112834
English,placebo,2024-05-05,-0.0012297210478551257,0.006482997186704287,-0.01393639553379553,0.011476953438085278,0.8495567340105727
English,placebo,2024-05-06,-0.00535756479548033,0.006642399456366346,-0.018376667729958367,0.007661538138997708,0.419913858696924
English,placebo,2024-05-07,-0.004952917421966352,0.006517555239209131,-0.017727325690816247,0.007821490846883545,0.44729352351241086
English,placebo,2024-05-08,-0.002155004798238047,0.006394075405299574,-0.014687392592625212,0.010377382996149117,0.7360931574367016
English,placebo,2024-05-09,-0.0005231196902846236,0.006302616607957055,-0.012876248241880451,0.011830008861311204,0.9338512227222839
English,placebo,2024-05-10,0.0002241220329128879,0.006273327769362751,-0.012071600395038105,0.01251984446086388,0.9715006957828489
English,placebo,2024-05-11,0.001227234634004426,0.006342517856209051,-0.011204100364165314,0.013658569632174166,0.84657266215701
English,placebo,2024-05-12,0.007026093521229848,0.0064250312484345675,-0.005566967725701904,0.0196191547681616,0.2741523475781094
English,placebo,2024-05-13,0.005839820191101186,0.006493805417389902,-0.006888038426983023,0.018567678809185396,0.3684977272275798
English,placebo,2024-05-14,0.005119536303286543,0.006401418498495715,-0.007427243953765058,0.017666316560338145,0.42385548912781074
English,placebo,2024-05-15,0.002174419973296593,0.0065210758910435535,-0.01060688877314877,0.014955728719741957,0.738798420186038
English,placebo,2024-05-16,-0.00398028019358887,0.006658460545955831,-0.017030862863662295,0.009070302476484557,0.5499881756859264
English,placebo,2024-05-17,-0.007569837401585122,0.006237868931799261,-0.019796060507911675,0.004656385704741429,0.2249274772982846
