specification,control,contrast,estimate,se,ci_low,ci_high,p_value,n_obs
Never-edited primary,English,Damage vs baseline,-.0632072016036526,.0091206739,-.081084833,-.045329574,4.3760729e-12,15064
Never-edited primary,English,Recovery vs disputed,.0719869052786645,.0088151516,.054708134,.089265674,3.4312431e-16,15064
Never-edited primary,English,Post vs baseline,.0087797036750119,.0046922788,-.00041773313,.017977141,.061351165,15064
Never-edited primary,Spanish,Damage vs baseline,-.0672357452009239,.010336819,-.08749941,-.046972077,8.3919476e-11,6334
Never-edited primary,Spanish,Recovery vs disputed,.0710895762212848,.0099197291,.051643547,.090535603,8.5694695e-13,6334
Never-edited primary,Spanish,Post vs baseline,.0038538310203609,.0069086482,-.0096894605,.017397122,.5769822,6334
Final state naive,English,Damage vs baseline,-.0345918320170754,.0064589512,-.047252059,-.021931604,8.6380219e-08,16722
Final state naive,English,Recovery vs disputed,.044202860875053,.0060543749,.032335646,.056070078,2.9852786e-13,16722
Period-end safeguard,English,Damage vs baseline,-.0450046032276975,.0074251266,-.059558708,-.030450501,1.3826884e-09,15692
Period-end safeguard,English,Recovery vs disputed,.0539165288754836,.0070208777,.0401548,.067678258,1.6916124e-14,15692
