control,window_type,cutoff_date,estimate,se,ci_low,ci_high,n_obs
English,placebo,2024-03-25,.0025517,.0046299235,-.0065238462,.011627247,10342
English,placebo,2024-03-26,.0011472137,.0046572057,-.0079817921,.01027622,10516
English,placebo,2024-03-27,-.0016465852,.0046867179,-.010833553,.0075403824,9512
English,placebo,2024-03-28,-.00023900071,.0048041665,-.009656298,.0091782967,8746
English,placebo,2024-03-29,-.0059801871,.0048866523,-.015559237,.0035988623,8363
English,placebo,2024-03-30,-.0060530473,.0049978388,-.015850093,.0037439989,8111
English,placebo,2024-03-31,.00063217682,.0053595235,-.0098739285,.011138283,7794
English,placebo,2024-04-01,-.0042801062,.0056206123,-.015298087,.0067378744,7483
English,placebo,2024-04-02,-.0057386444,.0059380885,-.01737904,.0059017516,7207
English,placebo,2024-04-03,-.0045156595,.0060317875,-.016339794,.0073084743,6994
English,placebo,2024-04-04,-.0050979555,.0060882112,-.017032754,.0068368437,6804
English,placebo,2024-04-05,.00027071623,.0064325752,-.012339233,.012880666,6542
English,placebo,2024-04-06,.0012332354,.0065275598,-.011562997,.014029468,6324
English,placebo,2024-04-07,-.00010123702,.006409734,-.012666573,.012464099,6116
English,placebo,2024-04-08,-.00013654988,.0069267214,-.013715431,.013442331,5966
English,placebo,2024-04-09,.0043839505,.0072195693,-.0097691063,.018537007,5789
English,placebo,2024-04-10,.0041330829,.0073081306,-.010193666,.018459832,5641
English,placebo,2024-05-05,-.001229721,.0064852783,-.013943341,.011483898,5687
English,placebo,2024-05-06,-.0053575649,.0066448082,-.01838401,.0076688793,5518
English,placebo,2024-05-07,-.0049529173,.0065199644,-.017734673,.0078288373,5414
English,placebo,2024-05-08,-.0021550048,.0063964701,-.014694699,.010384689,5343
English,placebo,2024-05-09,-.0005231197,.0063050324,-.012883624,.011837385,5221
English,placebo,2024-05-10,.00022412204,.0062758084,-.012079181,.012527425,5061
English,placebo,2024-05-11,.0012272346,.0063451026,-.011212006,.013666475,4911
English,placebo,2024-05-12,.0070260935,.0064277467,-.0055752825,.019627471,4735
English,placebo,2024-05-13,.00583982,.006496666,-.0068968078,.018576449,4543
English,placebo,2024-05-14,.0051195361,.0064043384,-.0074362024,.017675275,4388
English,placebo,2024-05-15,.00217442,.0065241326,-.010616274,.014965113,4270
English,placebo,2024-05-16,-.0039802804,.0066616749,-.017040739,.009080179,4146
English,placebo,2024-05-17,-.0075698374,.0062409178,-.019805431,.0046657566,4095
English,focal_harm,2024-04-18,-.073418014,.010594625,-.094187662,-.052648365,5512
English,focal_repair,2024-04-26,.073855281,.0096404646,.054956771,.09275379,6452
Spanish,placebo,2024-03-25,-.0029144697,.0053850105,-.01347232,.0076433797,3737
Spanish,placebo,2024-03-26,-.0031822522,.005322176,-.013616866,.0072523621,3784
Spanish,placebo,2024-03-27,-.0044051241,.0055794264,-.015344333,.0065340847,3550
Spanish,placebo,2024-03-28,-.0034348962,.0050539402,-.013344119,.0064743268,3261
Spanish,placebo,2024-03-29,-.0050759572,.0057497625,-.016349629,.0061977147,3145
Spanish,placebo,2024-03-30,-.0013273946,.0065400121,-.014150708,.011495919,3032
Spanish,placebo,2024-03-31,.0040387805,.0069562467,-.0096008331,.017678395,2941
Spanish,placebo,2024-04-01,.0014761453,.0071644387,-.012571959,.015524249,2809
Spanish,placebo,2024-04-02,.000034586741,.007710801,-.015085011,.015154185,2733
Spanish,placebo,2024-04-03,-.00062346878,.0078204293,-.015958302,.014711364,2628
Spanish,placebo,2024-04-04,.0002788975,.0076054442,-.014634646,.015192441,2530
Spanish,placebo,2024-04-05,-.0037561585,.0074250163,-.018316207,.010803891,2423
Spanish,placebo,2024-04-06,-.010314805,.0071199946,-.024277018,.0036474096,2325
Spanish,placebo,2024-04-07,-.0058846129,.0081704166,-.021906985,.01013776,2246
Spanish,placebo,2024-04-08,-.0053975624,.0088304821,-.022714762,.011919637,2149
Spanish,placebo,2024-04-09,-.0027949633,.0093217213,-.021075912,.015485985,2070
Spanish,placebo,2024-04-10,.0028049431,.010475431,-.017738925,.02334881,2009
Spanish,placebo,2024-05-05,-.001612572,.0096455934,-.020526459,.017301315,2584
Spanish,placebo,2024-05-06,.0040449854,.0093642715,-.01431758,.02240755,2493
Spanish,placebo,2024-05-07,-.01113026,.0082232002,-.027255438,.0049949181,2443
Spanish,placebo,2024-05-08,-.010177514,.0084624337,-.026771992,.0064169662,2391
Spanish,placebo,2024-05-09,.0030131459,.010391131,-.017363705,.023389997,2329
Spanish,placebo,2024-05-10,.0076059541,.01066845,-.013315124,.028527031,2245
Spanish,placebo,2024-05-11,.015254962,.012146764,-.0085656475,.039075572,2157
Spanish,placebo,2024-05-12,.022911398,.013519032,-.0036009864,.049423784,2065
Spanish,placebo,2024-05-13,.019224076,.013486724,-.0072257025,.045673855,1970
Spanish,placebo,2024-05-14,.026974503,.011668796,.0040894975,.049859509,1903
Spanish,placebo,2024-05-15,.025607942,.012438246,.001213477,.050002407,1855
Spanish,placebo,2024-05-16,.0020589342,.012381829,-.022225408,.026343277,1796
Spanish,placebo,2024-05-17,-.00088409055,.012589769,-.025576461,.02380828,1775
Spanish,focal_harm,2024-04-18,-.074892707,.012736757,-.099871032,-.049914379,2055
Spanish,focal_repair,2024-04-26,.072928861,.011169903,.051027529,.0948302,3041
